timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1495014829528318,-3,-56,-14,6,0,-11,-8,44
1495014829528318,-96,-45,8,-50,-36,-31,18,-19
1495014829543536,42,41,-25,32,23,27,6,71
1495014829543536,-4,37,-9,29,-11,5,7,4
1495014829544355,-17,23,5,-94,23,15,-8,-42
1495014829544355,10,46,-15,-48,8,13,13,-6
1495014829565466,-10,-92,-9,33,-27,-21,-38,11
1495014829565466,-14,18,-14,46,-11,-5,-8,11
1495014829567416,-63,-99,8,-81,16,14,19,-4
1495014829567416,83,93,-21,41,-18,-22,-5,6
1495014829579498,11,-85,14,29,23,10,25,123
1495014829579498,103,105,-30,-15,-14,4,-26,-35
1495014829588471,-71,-28,21,-8,-17,-34,-39,-1
1495014829588471,39,70,0,16,29,25,-2,40
1495014829603509,74,33,-8,0,-22,-9,14,73
1495014829603509,-19,-46,-23,6,16,-3,15,38
1495014829604513,105,97,20,52,-18,1,-20,10
1495014829604513,-79,-128,0,3,12,4,13,46
1495014829625800,52,90,16,-82,5,-5,-21,-83
1495014829625800,-128,-128,24,-86,-4,-18,-15,-107
1495014829627573,13,121,6,36,-14,-9,-6,61
1495014829627573,12,-7,-1,61,-20,-2,15,44
1495014829648655,41,62,-21,6,-4,-4,5,59
1495014829648655,-58,-11,16,-33,35,44,44,71
1495014829649641,38,10,0,25,-35,3,-12,-128
1495014829649641,-17,-74,16,-34,1,-14,7,14
1495014829663669,-38,22,7,77,4,-14,-26,-68
1495014829663669,9,-48,-4,32,-23,-27,-35,-5
1495014829664682,5,-6,-1,16,0,8,11,42
1495014829664682,1,79,-1,19,-6,13,-7,-6
1495014829685953,-21,8,-4,-50,-3,5,16,-37
1495014829685953,-4,-85,6,5,-17,-15,-3,11
1495014829686730,33,65,14,-17,22,27,38,78
1495014829686730,-24,-64,1,-24,-8,-33,-42,-126
1495014829709010,48,89,-1,-12,5,0,-4,-27
1495014829709010,-12,-13,5,23,5,17,8,54
1495014829709793,-59,-59,1,83,-22,-9,9,-49
1495014829709793,51,115,-17,-95,64,34,40,70
1495014829722827,-10,-102,-12,66,-6,1,5,-88
1495014829722827,-26,127,-18,-39,-19,10,-7,65
1495014829724831,-67,-128,27,33,2,-27,-27,34
1495014829724831,9,96,-1,12,6,12,31,62
1495014829745887,30,66,-11,96,21,7,8,77
1495014829745887,69,46,8,-21,-6,5,9,28
1495014829746891,-13,-6,16,-32,6,2,-15,-11
1495014829746891,1,-84,-10,10,-17,-5,-21,10
1495014829767977,-30,4,-2,-47,-29,-40,7,-48
1495014829767977,8,-28,-22,48,-2,-8,-9,24
